ticket_id,epic,title,priority,dimension,severity,cvss_or_rice,affected_files,effort_tshirt,dependencies,acceptance_criteria,verification_method,rollback_plan,package
FIND-0008,CI/build hygiene,Add PR-gating CI workflow (test + build + audit),P0,operability,High,RICE=10.0,.github/workflows/,S,FIND-0011,PR workflow runs npm ci/build/test/audit and fails on any step,Open a failing PR; observe CI block,Disable workflow,<root>
FIND-0011,CI/build hygiene,Fix tsc --noEmit (add DOM lib + type:module),P0,correctness,High,RICE=20.0,"tsconfig.json, package.json, src/core/puppeteer-renderer.ts, src/templates/registry.ts",XS,,tsc --noEmit exits 0,npm run build exits 0,Revert tsconfig + package.json,<root>
FIND-0022,Preview server hardening,Fix symlink path-traversal (realpath + lstat),P0,security,High,CVSS 7.1,src/cli/preview-server.ts,S,,Symlink under output/ returns 403; tests pass,Integration test curl against a symlinked file expects 403,Revert,<root>
FIND-0001,Preview server hardening,Default-bind 127.0.0.1; add --host flag,P1,security,Medium,CVSS 5.3,"src/cli/preview-server.ts, src/cli/index.ts",XS,,lsof confirms 127.0.0.1 bind by default,lsof -iTCP:3000 -sTCP:LISTEN,Revert,<root>
FIND-0005,Supply chain,Run npm audit fix to close basic-ftp HIGH CVE,P1,security,High,CVSS 8.2,package-lock.json,XS,,npm audit --audit-level=high exits 0,npm audit,git checkout package-lock.json,<root>
FIND-0007,Dependency hygiene,Remove 8 unused prod deps + 4 unused dev deps,P1,maintainability,Medium,RICE=4.5,"package.json, package-lock.json",S,FIND-0013,depcheck reports 0 unused; build + tests pass,npx depcheck; npm run build; npm test,git revert + npm ci,<root>
FIND-0009,Supply chain,Pin GitHub Actions by full commit SHA + dependabot,P1,security,Medium,RICE=4.8,".github/workflows/, .github/dependabot.yml",XS,,rg '@v[0-9]' .github/workflows/ returns no matches,grep workflow files,Revert,<root>
FIND-0013,Documentation,Fix README/CONTRIBUTING/CLAUDE.md drift to deleted files,P1,maintainability,Medium,RICE=7.5,"README.md, CONTRIBUTING.md, CLAUDE.md, package.json",S,FIND-0007,Every file path referenced in docs exists; fd confirms 0 misses,Grep + fd check,N/A,<root>
FIND-0014,Offline fidelity,Self-host Google Fonts (fix FIND-0004 too),P1,correctness,Medium,RICE=3.0,"src/templates/html/*.html, assets/fonts/, scripts/download-fonts.ts (new)",M,,Network-disabled run renders all templates,docker run --network=none render,Revert + re-link online fonts,<root>
FIND-0016,Test coverage,Add T1-module tests (preview-server/puppeteer-renderer/pdf-postprocess),P1,testability,Medium,RICE=3.2,tests/unit/,M,"FIND-0001, FIND-0002, FIND-0022",At least 3 new test files protect FIND-0001/02/11/22,vitest run lists new files,N/A,<root>
FIND-0002,Preview server hardening,Replace bespoke esc() with complete escape,P2,security,Medium,CVSS 5.4,src/cli/preview-server.ts,XS,,esc(\"'\") returns &#39;; XSS test payload escaped,Unit test,Revert,<root>
FIND-0003,Preview hardening,Gate Chromium --no-sandbox to CI/Docker only,P2,security,Medium,CVSS 4.4,src/core/puppeteer-renderer.ts,S,FIND-0008,Launch args depend on process.env.CI,Inspect Puppeteer process args,Revert,<root>
FIND-0004,Offline fidelity,Add Puppeteer request allow-list (pairs with FIND-0014),P2,security,Low,CVSS 3.1,src/core/puppeteer-renderer.ts,S,FIND-0014,Non-whitelisted requests aborted,Integration test with malicious template,Revert,<root>
FIND-0006,Supply chain,Bump vitest to ^4.1.4 (semver-major),P2,security,Medium,CVSS 5.3,"package.json, tests/unit/",S,,npm audit clean at moderate+; tests pass,npm audit + vitest run,Revert,<root>
FIND-0010,Supply chain,Sign release artifacts with cosign + SLSA provenance,P2,security,Low,RICE=2.4,.github/workflows/generate.yml,S,,Release includes .sig + .intoto.jsonl,cosign verify-blob,Remove sig step,<root>
FIND-0012,Template parser,Replace bespoke regex HTML parser with cheerio,P2,correctness,Medium,RICE=1.92,"src/templates/planners/daily-year-v2.ts, package.json",M,,Pathological templates handled; tests pass,New unit test,Revert,<root>
FIND-0018,Accessibility,Dark-mode parity audit + WCAG contrast check,P2,uxa11y,Medium,RICE=1.92,"src/templates/html/, docs/",M,,11/32 → 32/32 dark variants OR PROBLEM_STATEMENT FR-04.2 scoped; contrast >= 4.5:1 text,Contrast script in CI,N/A,<root>
FIND-0020,Legal hygiene,Generate THIRD_PARTY_LICENSES.md noting LGPL libvips,P2,security,Low,RICE=6.0,THIRD_PARTY_LICENSES.md,XS,,File exists citing libvips LGPL-3.0-or-later,license-checker --markdown,Delete file,<root>
FIND-0017,Error handling,batchRenderHTML returns failure array; caller exits non-zero,P2,maintainability,Low,RICE=3.0,"src/core/puppeteer-renderer.ts, scripts/*.ts",S,,Failed template causes non-zero exit,Forced failure test,Revert,<root>
FIND-0019,Documentation,Fix package.json repository.url stub + README clone URL,P2,maintainability,Low,RICE=5.0,"package.json, README.md, CONTRIBUTING.md",XS,,All docs reference praxstack/goodnotes-templates,grep checks,Revert,<root>
FIND-0024,PDF integrity,Validate hyperlink rect values (w>0, h>0, finite),P2,correctness,Low,RICE=3.2,src/core/pdf-postprocess.ts,XS,,Invalid rect skipped with warn; unit test passes,vitest,Revert,<root>
FIND-0026,PDF integrity,Bookmark pageIndex strict-mode option,P2,correctness,Low,RICE=6.0,src/core/pdf-postprocess.ts,XS,,strict mode throws on out-of-range; default warns,Unit test,Revert,<root>
FIND-0023,Preview hardening,Reject NUL + backslash in decoded path (defense-in-depth),P3,correctness,Informational,CVSS 3.7→0,src/cli/preview-server.ts,XS,FIND-0022,curl %00 returns 400,curl test,Revert,<root>
FIND-0015,Code cleanup,Extract shared resolveColorModeCSS helper,P2,correctness,Low,RICE=1.6,"src/core/puppeteer-renderer.ts, scripts/generate-4week.ts",XS,,One implementation exported; duplicate removed,Unit test,Revert,<root>
FIND-0021,Preview hardening,Add ETag + Cache-Control to preview server,P3,correctness,Low,RICE=1.0,src/cli/preview-server.ts,XS,,curl -I returns ETag; 304 on re-request,curl -I,Revert,<root>
FIND-0025,Concurrency,Fix Puppeteer getBrowser race (cache promise),P3,correctness,Low,RICE=2.0,src/core/puppeteer-renderer.ts,XS,,Promise.all does not launch two browsers,ps test,Revert,<root>
FIND-0027,SVG hardening,Escape text in SVG sticker generators (dormant primitive),P3,security,Low,CVSS 2.4,src/core/svg-renderer.ts,XS,,Payload broken by escape; unit test passes,vitest,Revert,<root>
